year,text,href,google_file_id,source_url,export_url,local_path,file_size_bytes,download_status
2017,F.A.T. 30 METER BLOCK STARTS,https://docs.google.com/spreadsheets/d/15SZLfrkCpPzvJaa2ATeG-_jlxdbTrAtzPk-Hf-PEKao/edit?usp=sharing,15SZLfrkCpPzvJaa2ATeG-_jlxdbTrAtzPk-Hf-PEKao,https://docs.google.com/spreadsheets/d/15SZLfrkCpPzvJaa2ATeG-_jlxdbTrAtzPk-Hf-PEKao/edit?usp=sharing,https://docs.google.com/spreadsheets/d/15SZLfrkCpPzvJaa2ATeG-_jlxdbTrAtzPk-Hf-PEKao/export?format=xlsx,data/downloads/2017_f_a_t_30_meter_block_starts_15SZLfrkCpPzvJaa2ATeG-_jlxdbTrAtzPk-Hf-PEKao.xlsx,15036,skipped_exists
2017,F.A.T. 30 YARD FLY,https://docs.google.com/spreadsheets/d/1okhu1vx9WffBNIOybftdBrjLY2TE9qZZpVftsIJ-cvQ/edit?usp=sharing,1okhu1vx9WffBNIOybftdBrjLY2TE9qZZpVftsIJ-cvQ,https://docs.google.com/spreadsheets/d/1okhu1vx9WffBNIOybftdBrjLY2TE9qZZpVftsIJ-cvQ/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1okhu1vx9WffBNIOybftdBrjLY2TE9qZZpVftsIJ-cvQ/export?format=xlsx,data/downloads/2017_f_a_t_30_yard_fly_1okhu1vx9WffBNIOybftdBrjLY2TE9qZZpVftsIJ-cvQ.xlsx,11337,skipped_exists
2017,F.A.T. 35 METER FLY ON CURVE,https://docs.google.com/spreadsheets/d/1eUXIDdXhDfweNuNqGMEMtqzJOrmAyyWYmlZ9B9fC5Q0/edit?usp=sharing,1eUXIDdXhDfweNuNqGMEMtqzJOrmAyyWYmlZ9B9fC5Q0,https://docs.google.com/spreadsheets/d/1eUXIDdXhDfweNuNqGMEMtqzJOrmAyyWYmlZ9B9fC5Q0/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1eUXIDdXhDfweNuNqGMEMtqzJOrmAyyWYmlZ9B9fC5Q0/export?format=xlsx,data/downloads/2017_f_a_t_35_meter_fly_on_curve_1eUXIDdXhDfweNuNqGMEMtqzJOrmAyyWYmlZ9B9fC5Q0.xlsx,10505,skipped_exists
2017,F.A.T. 40 YARD FLY,https://docs.google.com/spreadsheets/d/1zLbq62GS8MAHDcLEyCtferjIl1cw8yr3Y8VVzEd05Bc/edit?usp=sharing,1zLbq62GS8MAHDcLEyCtferjIl1cw8yr3Y8VVzEd05Bc,https://docs.google.com/spreadsheets/d/1zLbq62GS8MAHDcLEyCtferjIl1cw8yr3Y8VVzEd05Bc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1zLbq62GS8MAHDcLEyCtferjIl1cw8yr3Y8VVzEd05Bc/export?format=xlsx,data/downloads/2017_f_a_t_40_yard_fly_1zLbq62GS8MAHDcLEyCtferjIl1cw8yr3Y8VVzEd05Bc.xlsx,12117,skipped_exists
2018,15 YARD BLOCK START INTO A 10 YARD FLY,https://docs.google.com/spreadsheets/d/1wDryQ5h_tRk7gmnKV6uRx-cKoYodbQpzNz6GSdZOgt4/edit?usp=sharing,1wDryQ5h_tRk7gmnKV6uRx-cKoYodbQpzNz6GSdZOgt4,https://docs.google.com/spreadsheets/d/1wDryQ5h_tRk7gmnKV6uRx-cKoYodbQpzNz6GSdZOgt4/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1wDryQ5h_tRk7gmnKV6uRx-cKoYodbQpzNz6GSdZOgt4/export?format=xlsx,data/downloads/2018_15_yard_block_start_into_a_10_yard_fly_1wDryQ5h_tRk7gmnKV6uRx-cKoYodbQpzNz6GSdZOgt4.xlsx,23714,skipped_exists
2018,24-SECOND DRILL ON 178M TRACK,https://docs.google.com/spreadsheets/d/1RWerFcI5QhkXuehXq3blremWA2F6LNbz-tEfDX_Z-nI/edit?usp=sharing,1RWerFcI5QhkXuehXq3blremWA2F6LNbz-tEfDX_Z-nI,https://docs.google.com/spreadsheets/d/1RWerFcI5QhkXuehXq3blremWA2F6LNbz-tEfDX_Z-nI/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1RWerFcI5QhkXuehXq3blremWA2F6LNbz-tEfDX_Z-nI/export?format=xlsx,data/downloads/2018_24_second_drill_on_178m_track_1RWerFcI5QhkXuehXq3blremWA2F6LNbz-tEfDX_Z-nI.xlsx,12304,skipped_exists
2018,25 YARD BLOCK START INTO A 10 YARD FLY,https://docs.google.com/spreadsheets/d/1qGEPgE1HrfPibdEDBtpE9XMrtpbHxSxBlR9V8tmKbJg/edit?usp=sharing,1qGEPgE1HrfPibdEDBtpE9XMrtpbHxSxBlR9V8tmKbJg,https://docs.google.com/spreadsheets/d/1qGEPgE1HrfPibdEDBtpE9XMrtpbHxSxBlR9V8tmKbJg/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1qGEPgE1HrfPibdEDBtpE9XMrtpbHxSxBlR9V8tmKbJg/export?format=xlsx,data/downloads/2018_25_yard_block_start_into_a_10_yard_fly_1qGEPgE1HrfPibdEDBtpE9XMrtpbHxSxBlR9V8tmKbJg.xlsx,19481,skipped_exists
2018,400 PREDICTOR aka “Freelap 500” (5X100),https://docs.google.com/spreadsheets/d/11AMufen9bKIJemvZNrI6cnFl-fxtiwGFyWb8nO5M_I4/edit?usp=sharing,11AMufen9bKIJemvZNrI6cnFl-fxtiwGFyWb8nO5M_I4,https://docs.google.com/spreadsheets/d/11AMufen9bKIJemvZNrI6cnFl-fxtiwGFyWb8nO5M_I4/edit?usp=sharing,https://docs.google.com/spreadsheets/d/11AMufen9bKIJemvZNrI6cnFl-fxtiwGFyWb8nO5M_I4/export?format=xlsx,data/downloads/2018_400_predictor_aka_freelap_500_5x100_11AMufen9bKIJemvZNrI6cnFl-fxtiwGFyWb8nO5M_I4.xlsx,8784,skipped_exists
2018,8 MINUTE WORKOUT (8 x 40y fly),https://docs.google.com/spreadsheets/d/1i5J6eATrHS4wrm3Yz9Y9spBLhfMHH2LSmWLdl71fMOE/edit?usp=sharing,1i5J6eATrHS4wrm3Yz9Y9spBLhfMHH2LSmWLdl71fMOE,https://docs.google.com/spreadsheets/d/1i5J6eATrHS4wrm3Yz9Y9spBLhfMHH2LSmWLdl71fMOE/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1i5J6eATrHS4wrm3Yz9Y9spBLhfMHH2LSmWLdl71fMOE/export?format=xlsx,data/downloads/2018_8_minute_workout_8_x_40y_fly_1i5J6eATrHS4wrm3Yz9Y9spBLhfMHH2LSmWLdl71fMOE.xlsx,16523,skipped_exists
2018,BROKEN-400 4X4 PREDICTOR,https://docs.google.com/spreadsheets/d/1hw4cV2yymxeZqXgc95-vrfyccQqdiO1UQEu5sVZgqrA/edit?usp=sharing,1hw4cV2yymxeZqXgc95-vrfyccQqdiO1UQEu5sVZgqrA,https://docs.google.com/spreadsheets/d/1hw4cV2yymxeZqXgc95-vrfyccQqdiO1UQEu5sVZgqrA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1hw4cV2yymxeZqXgc95-vrfyccQqdiO1UQEu5sVZgqrA/export?format=xlsx,data/downloads/2018_broken_400_4x4_predictor_1hw4cV2yymxeZqXgc95-vrfyccQqdiO1UQEu5sVZgqrA.xlsx,20149,skipped_exists
2018,F.A.T. 20 YARD FLY,https://docs.google.com/spreadsheets/d/1VHiGuuDtr5Dn5zdNEDqvU8zpaksE47rr9MLzXxsjupc/edit?usp=sharing,1VHiGuuDtr5Dn5zdNEDqvU8zpaksE47rr9MLzXxsjupc,https://docs.google.com/spreadsheets/d/1VHiGuuDtr5Dn5zdNEDqvU8zpaksE47rr9MLzXxsjupc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1VHiGuuDtr5Dn5zdNEDqvU8zpaksE47rr9MLzXxsjupc/export?format=xlsx,data/downloads/2018_f_a_t_20_yard_fly_1VHiGuuDtr5Dn5zdNEDqvU8zpaksE47rr9MLzXxsjupc.xlsx,29786,skipped_exists
